Day,Area_km2
1,10362622.581827078
2,10168290.503181908
3,9973063.959066177
4,9882146.113402233
5,9848721.020865796
6,9963196.48602194
7,9319766.04934234
8,9358791.714133613
9,8907686.32951617
10,7989768.707730341
11,8119547.425969043
12,7779559.65817903
13,7977577.838790108
14,7182507.881561074
15,6714802.642207012
16,6597720.3781843865
17,6888608.435445355
18,6596774.105546203
19,6048377.820702303
20,6446930.529408313
21,6756220.169842955
22,6379350.273425871
23,6537593.981957166
24,5909653.731983922
25,5924262.190075701
26,5419650.244549969
27,5364843.971232198
28,5611922.146093711
29,5570781.975448818
30,5488122.401218627
31,5554995.420837063
32,4835046.373763525
33,5029780.534647659
34,4542036.506555722
35,4355813.63171379
36,4037872.7830246654
37,4268889.294515559
38,4314653.168769075
39,3953141.998596667
40,3872851.410575824
41,4018260.8185153366
42,3818075.518488859
43,3788522.9680008357
45,3695342.2163955504
46,4033568.2217905135
47,3754583.472911283
48,3720771.7171012065
49,3603906.8450167575
50,3562914.74330262
51,3558787.066772455
52,3532413.1672328957
53,3364308.3897831095
54,3662963.4194451417
55,3815928.447840301
56,3974355.6927732537
57,3852264.1658455455
58,3877985.637599374
59,3901093.1712640277
60,3795680.6882454357
61,3783813.6529343496
62,3704491.70076806
63,3884784.32562714
64,3951903.5350763174
65,4078428.94345589
66,4002591.8839248475
67,3999937.441995954
68,3861317.6381015196
69,4070259.2930658967
70,4207551.528817184
71,4128903.177837095
72,4164985.665203741
73,4151527.3157365527
74,4141353.5224343427
75,4193454.554062553
76,4313663.714423737
77,4312146.701315386
78,4323751.726878965
79,4430503.115095579
80,4404136.280934538
81,4511944.72687414
82,4556950.940627015
83,4537253.092617924
84,4533508.994912284
85,4594142.869837405
86,4621575.957620407
87,4748108.390945563
88,4873899.472593751
89,4941427.334250758
90,4960445.326638584
91,5068456.172888981
92,4959635.051613471
93,5173863.7214851985
94,5177869.962875014
95,5278278.851699459
96,5302304.256103713
97,5811882.457304172
98,5799506.117790689
99,5786391.596196427
100,5685642.368524091
101,6021959.69160112
102,6261358.507785453
103,6201011.80136717
104,6440199.088261833
105,6539634.667705317
106,6689746.758471399
107,6954462.591237227
108,6833563.792849573
110,7341743.0900567565
111,7423353.5281275585
112,7555313.965851803
113,7608224.177170996
114,7705554.468245049
115,7822382.316036853
116,8023914.4886275
117,8148635.242570566
118,8161323.654216834
119,8085086.610058336
120,8265048.8190791365
122,9001406.560989005
123,8988382.451930018
124,9297774.43066237
125,9584894.505810738
126,9493470.924709192
127,9491153.507342914
128,9555075.339686923
129,9626264.313337285
130,9617803.573449397
131,9898003.068367742
132,10193135.700382642
133,10349634.766519027
134,10456529.792967876
135,10697818.213294243
136,10810817.66023371
137,10961738.659180835
138,11119839.471792633
139,11215090.70473306
140,11165541.400564246
141,11382535.571310963
142,11637301.341056777
143,11647739.37926816
144,11747082.026105134
145,11942692.950577965
146,12108773.564014146
147,12080757.346173959
148,12223764.09483866
149,12493981.683037505
150,12755387.010257713
151,12988276.651522165
152,13033512.92971293
153,13211029.05325592
154,13163535.316045873
155,12866810.338101784
156,13387856.230253348
157,13766140.576368617
158,13785964.030324489
159,13444898.476243347
160,13629553.911044521
161,13560819.20019609
162,13708161.741405502
163,13933720.141715243
164,13934144.239078015
165,14025995.406851713
166,14331801.11742931
167,14547773.54209691
168,14656739.672813585
169,14890539.22756991
170,15029968.216824882
171,14810674.576386832
172,14889650.979825921
173,15036954.915913804
174,15124007.129606195
175,15205138.47239676
176,14978116.072238468
177,15054888.506251905
178,14804574.732495127
179,14974936.50413841
180,14849798.40990016
181,15192266.939567018
182,15296336.408356491
183,15212467.782927243
184,15186977.859413177
185,15075769.434188813
186,15438369.20995173
187,15635838.34667427
188,15550862.882190078
189,15832987.821891626
190,16267629.59998462
191,16465339.631086111
192,16348966.485996049
193,16534284.642209997
194,16268906.594356382
195,16482382.45858419
196,16633120.782266404
197,16814699.197883103
198,16837658.987590346
199,16959208.057023842
200,17014386.986244246
201,17161958.285877116
202,17388056.05202746
203,17886286.016152725
204,17413054.772255894
205,17639972.35240262
206,17785202.673566177
207,17810407.554374147
208,17973727.86263049
209,17952329.538340557
210,17990514.30529415
211,17862723.383649755
212,17895503.915931903
213,18189433.906475287
214,18389061.951169282
215,18231536.33505482
216,18517285.71303916
217,18271031.161828596
218,18512190.67791055
219,18491396.275531735
220,18870935.824464828
221,19041202.92058554
222,19154194.025864884
223,19030882.14494308
224,18907874.296427637
225,18643183.08147408
226,18772408.153045665
227,18990525.07676976
228,18935906.76514021
229,19286637.166773554
230,19345051.52481606
231,19520081.70697444
232,19745808.44645089
233,19791643.755551122
234,20044298.774502926
235,19776298.633000575
236,19932572.19178932
237,18903283.978015985
238,19032553.91931931
239,19032430.466783773
240,19118844.278111894
241,18367545.319662455
242,19025338.267049316
243,19593127.62118417
244,20007448.30032891
245,20317980.471158795
246,19600042.173175745
247,19901369.782059167
248,19752912.97720212
249,19774655.92250433
250,20231011.131505497
251,19499440.238711473
252,19914730.554259356
253,19964326.26882555
254,20008231.781969212
255,20257216.615681157
256,20185287.709163062
257,20472721.279286183
258,20523444.16472356
259,20737990.35494688
260,20671300.848154794
261,20503216.20109871
262,20031847.872058325
263,19736974.511007804
264,20050214.574368432
265,20327704.476250775
266,20457668.532644622
267,20311414.536512125
268,20199497.89718585
269,20410732.267947994
270,20112320.400399376
271,19747620.16460073
272,19827783.997916657
273,19732709.98521334
274,20019219.420329165
275,19649436.73801606
276,19855121.479555905
277,19936138.184386466
278,20444512.39919058
279,20135208.604139734
280,20498832.331446595
281,20762516.859889038
282,20709075.003357567
283,20461146.296666116
284,20428383.912308652
285,20413787.137486413
286,20396368.27441175
287,20418416.844258413
288,20024604.476868693
289,19945803.836448856
290,20006128.106020916
291,19765830.413022574
292,19704774.23147206
293,19614937.211350672
294,19523048.670027584
295,19758981.031847496
296,19433559.22862524
297,19331937.513209302
298,19565553.811625548
299,19207689.85683475
300,18978148.540798854
301,18937386.67412085
302,19096506.146684017
303,18482930.228799623
304,18371355.303353366
305,18495673.06643561
306,18872359.593980953
307,19248743.522910308
308,18818828.794652566
309,18953396.134115517
310,19031345.815033764
311,18025535.743465878
312,18270681.47542143
313,18133039.366132177
314,17753387.60604221
315,17653398.417760253
316,17662424.793200754
317,17650051.28904402
318,18119433.583496317
319,17869103.9512467
320,18030285.460742116
321,18268037.827784076
322,18187907.72106979
323,17199861.510647535
324,17269297.42080085
325,17020872.74899635
326,17131587.956911784
327,16999917.288085822
328,17023765.996659532
329,16988991.92829237
330,16943994.31036511
331,16595481.366336154
332,16494798.262971377
333,16138414.14081742
334,15787208.170825709
335,15787045.416939462
336,15451788.16259697
337,15332350.563033495
338,15323330.693784242
339,15681129.437306747
340,15990217.44212449
341,15977364.998491816
342,16228088.205982497
343,16391062.643346798
344,16318090.433692543
345,15330896.411214799
346,15070760.064663036
347,14624824.18975162
348,14436219.553084193
349,14313896.77396668
350,13958035.58136445
351,14065420.87472419
352,13898947.929053888
353,13460377.471166903
354,13382665.874466812
355,13043002.551856842
356,12580755.192913558
357,12689310.449542193
358,12634297.24076268
359,12582053.866617978
360,12439638.101840414
361,12867493.960090188
362,12998253.083568405
363,12480835.331537029
364,12636334.536731992
365,12708552.556157948
